-4.76E+05	1.10E+01
-4.66E+05	8.63E+00
-4.57E+05	6.26E+00
-4.47E+05	3.94E+00
-4.38E+05	1.93E+00
-4.28E+05	1.83E+00
-4.19E+05	1.65E+00
-4.09E+05	1.50E+00
-4.00E+05	1.35E+00
-3.90E+05	1.20E+00
-3.81E+05	1.05E+00
-3.71E+05	8.98E-01
-3.62E+05	7.55E-01
-3.52E+05	6.26E-01
-3.43E+05	4.99E-01
-3.33E+05	3.69E-01
-3.24E+05	2.40E-01
-3.14E+05	1.14E-01
-3.05E+05	-9.29E-03
-2.95E+05	-1.30E-01
-2.85E+05	-2.45E-01
-2.76E+05	-3.53E-01
-2.66E+05	-4.56E-01
-2.57E+05	-5.55E-01
-2.47E+05	-6.53E-01
-2.38E+05	-7.48E-01
-2.28E+05	-8.38E-01
-2.19E+05	-9.24E-01
-2.09E+05	-1.00E+00
-2.00E+05	-1.08E+00
-1.90E+05	-1.16E+00
-1.81E+05	-1.23E+00
-1.71E+05	-1.30E+00
-1.62E+05	-1.36E+00
-1.52E+05	-1.42E+00
-1.43E+05	-1.48E+00
-1.33E+05	-1.53E+00
-1.24E+05	-1.58E+00
-1.14E+05	-1.62E+00
-1.05E+05	-1.66E+00
-9.52E+04	-1.70E+00
-8.56E+04	-1.73E+00
-7.61E+04	-1.76E+00
-6.66E+04	-1.79E+00
-5.71E+04	-1.82E+00
-4.76E+04	-1.84E+00
-3.81E+04	-1.85E+00
-2.85E+04	-1.86E+00
-1.90E+04	-1.87E+00
-9.52E+03	-1.87E+00
0.00E+00	-1.87E+00
9.52E+03	-1.87E+00
1.90E+04	-1.87E+00
2.85E+04	-1.86E+00
3.81E+04	-1.85E+00
4.76E+04	-1.84E+00
5.71E+04	-1.81E+00
6.66E+04	-1.79E+00
7.61E+04	-1.76E+00
8.56E+04	-1.73E+00
9.52E+04	-1.70E+00
1.05E+05	-1.66E+00
1.14E+05	-1.62E+00
1.24E+05	-1.58E+00
1.33E+05	-1.53E+00
1.43E+05	-1.48E+00
1.52E+05	-1.42E+00
1.62E+05	-1.36E+00
1.71E+05	-1.30E+00
1.81E+05	-1.23E+00
1.90E+05	-1.16E+00
2.00E+05	-1.08E+00
2.09E+05	-1.01E+00
2.19E+05	-9.24E-01
2.28E+05	-8.39E-01
2.38E+05	-7.48E-01
2.47E+05	-6.53E-01
2.57E+05	-5.55E-01
2.66E+05	-4.56E-01
2.76E+05	-3.52E-01
2.85E+05	-2.43E-01
2.95E+05	-1.28E-01
3.05E+05	-7.59E-03
3.14E+05	1.15E-01
3.24E+05	2.40E-01
3.33E+05	3.68E-01
3.43E+05	4.98E-01
3.52E+05	6.27E-01
3.62E+05	7.54E-01
3.71E+05	8.94E-01
3.81E+05	1.05E+00
3.90E+05	1.20E+00
4.00E+05	1.35E+00
4.09E+05	1.50E+00
4.19E+05	1.64E+00
4.28E+05	1.81E+00
4.38E+05	1.92E+00
4.47E+05	3.94E+00
4.57E+05	6.26E+00
4.66E+05	8.63E+00
4.76E+05	1.10E+01
