,x,Tracer
0,0.0,3.604348466868756e-05
1,0.2,3.60434408610774e-05
2,0.4,3.604339961884332e-05
3,0.6000000000000001,3.6043361680233364e-05
4,0.8,3.604332760493509e-05
5,1.0,3.604329798936385e-05
6,1.2000000000000002,3.60432732121121e-05
7,1.4000000000000001,3.604325383540122e-05
8,1.6,3.60432404636707e-05
9,1.8,3.60432337926306e-05
10,2.0,3.604323464779009e-05
11,2.2,3.604324393133912e-05
12,2.4000000000000004,3.6043262910366784e-05
13,2.6,3.6043292877445515e-05
14,2.8000000000000003,3.6043335413059686e-05
15,3.0,3.604339235143652e-05
16,3.2,3.604346579821188e-05
17,3.4000000000000004,3.6043558136163873e-05
18,3.6,3.6043672010422766e-05
19,3.8000000000000003,3.6043810279675415e-05
20,4.0,3.604397591238188e-05
21,4.2,3.6044171794947757e-05
22,4.4,3.6044400399911004e-05
23,4.6000000000000005,3.604466323259892e-05
24,4.800000000000001,3.6044959928656504e-05
25,5.0,3.604528680361741e-05
26,5.2,3.604563454682249e-05
27,5.4,3.6045984584089576e-05
28,5.6000000000000005,3.6046303377141476e-05
29,5.800000000000001,3.604653353790866e-05
30,6.0,3.604658014843896e-05
31,6.2,3.604628975341786e-05
32,6.4,3.604541700725782e-05
33,6.6000000000000005,3.604357614235013e-05
34,6.800000000000001,3.604016505027367e-05
35,7.0,3.603425127597554e-05
36,7.2,3.6024400518175475e-05
37,7.4,3.60084201918617e-05
38,7.6000000000000005,3.598297899644314e-05
39,7.800000000000001,3.594304824906128e-05
40,8.0,3.58810930523406e-05
41,8.200000000000001,3.578592550674644e-05
42,8.4,3.564113059030779e-05
43,8.6,3.542301767965324e-05
44,8.8,3.509819928268833e-05
45,9.0,3.46212664665673e-05
46,9.200000000000001,3.393377602041779e-05
47,9.4,3.296697213865855e-05
48,9.600000000000001,3.1651922943242955e-05
49,9.8,2.9940324659438894e-05
50,10.0,2.7833817174276772e-05
51,10.200000000000001,2.5408094271321253e-05
52,10.4,2.2809950905310088e-05
53,10.600000000000001,2.0218722438207874e-05
54,10.8,1.7794257489922477e-05
55,11.0,1.564404335719501e-05
56,11.200000000000001,1.3819193894838695e-05
57,11.4,1.2327153965380029e-05
58,11.600000000000001,1.1147822695113608e-05
59,11.8,1.0246932751213827e-05
60,12.0,9.585287600033727e-06
61,12.200000000000001,9.124325389143187e-06
62,12.4,8.828994581530341e-06
63,12.600000000000001,8.661073441047594e-06
64,12.8,8.630680122809534e-06
65,13.0,8.657499063690019e-06
66,13.200000000000001,8.767562851975891e-06
67,13.4,8.93531612484868e-06
68,13.600000000000001,9.149543175464422e-06
69,13.8,9.401246801580224e-06
70,14.0,9.683190231816941e-06
71,14.200000000000001,9.989544254273333e-06
72,14.4,1.0315601949179792e-05
73,14.600000000000001,1.0657550190903589e-05
74,14.8,1.1012286803717825e-05
75,15.0,1.1377272964531578e-05
76,15.200000000000001,1.1750410421844177e-05
77,15.4,1.2129930511730323e-05
78,15.600000000000001,1.251427798167009e-05
79,15.8,1.290197462477648e-05
