"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26349e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94442e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67944e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
9.45383e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
8.72904e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
7.78906e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
6.98487e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
6.23061e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
5.49309e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
4.75962e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
4.02095e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
3.29948e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
2.61035e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
1.95209e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
1.30317e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
6.48832e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
1.18816e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-5.85592e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-1.14920e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-1.70397e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-2.25188e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-2.78418e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-3.29894e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-3.79566e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-4.26802e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-4.71405e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-5.13253e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-5.53307e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-5.91914e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-6.29025e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-6.64494e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-6.97863e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-7.28894e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-7.57358e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-7.83469e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-8.07572e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-8.30080e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-8.51022e-01,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-8.70027e-01,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-8.86735e-01,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-9.00931e-01,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-9.12735e-01,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
