"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26340e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94416e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.75541e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.65782e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.52630e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.37898e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.22892e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.08797e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
9.59087e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
8.29419e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
7.03086e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
5.80335e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.56305e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.32323e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.15199e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
1.06199e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
1.05699e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-1.02687e-01,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-2.04228e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-3.02374e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-3.96281e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-4.87277e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-5.77180e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-6.65325e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-7.49040e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-8.26916e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-8.99439e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-9.69050e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-1.03712e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-1.10361e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.16771e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.22848e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.28585e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.33962e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.38995e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.43666e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.47966e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-1.51866e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-1.55333e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-1.58383e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-1.61058e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-1.63415e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
