"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26332e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94394e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67156e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-5.50000e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-1.79050e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-1.64366e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-1.47831e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-1.31683e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-1.15924e+00,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-1.00552e+00,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-8.55730e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-7.09826e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-5.67755e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-4.29624e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-2.95426e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-1.65044e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-3.86063e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
8.40478e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
2.02643e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
3.17438e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
4.28348e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
5.35317e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
6.38451e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
7.37739e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
8.32988e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
9.24509e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
1.01199e+00,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
1.09564e+00,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
1.17541e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
1.25129e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
1.32337e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
1.39137e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
1.45559e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
1.51587e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
1.57239e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
1.62490e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
1.67346e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
1.71823e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
1.75909e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
1.79607e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
1.82912e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
1.85834e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
