"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26333e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94417e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.92868e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.82965e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.64692e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.49947e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.34923e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.19733e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
1.04960e+00,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
8.97550e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
7.55312e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
6.26244e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.98652e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.68906e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.39647e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
1.13546e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-9.29176e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-1.29512e-01,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-2.44627e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-3.53412e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-4.56144e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-5.55425e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-6.52936e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-7.47885e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-8.38349e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-9.23823e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-1.00447e+00,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-1.08179e+00,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-1.15651e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-1.22868e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.29762e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.36232e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.42259e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.47833e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.52982e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.57705e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.62037e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-1.66039e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-1.69721e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-1.73109e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-1.76218e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-1.79073e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
