"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26351e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94470e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67143e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-5.18993e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-1.17128e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-1.07317e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-9.82527e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-8.65078e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-7.60044e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-6.51342e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-5.49022e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-4.56336e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-3.67186e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-2.78677e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-1.89184e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-1.00588e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-1.56191e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
6.61236e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
1.45701e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
2.24002e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
3.00781e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
3.75470e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
4.47428e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
5.16299e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
5.81768e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
6.44522e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
7.04925e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
7.64027e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
8.21497e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
8.76211e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
9.26782e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
9.72003e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
1.01265e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
1.04985e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
1.08482e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
1.11789e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
1.14902e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
1.17835e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
1.20584e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
1.23155e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
1.25504e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
1.27565e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
