"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26340e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94400e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.84889e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.75451e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.64669e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.47772e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.32715e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.17978e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
1.03294e+00,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
8.92790e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
7.49354e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
6.05074e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.69236e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.44627e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.25718e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
1.09210e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-4.23343e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-1.14640e-01,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-2.23239e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-3.31111e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-4.37776e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-5.40901e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-6.39016e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-7.32071e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-8.20500e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-9.05265e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-9.86236e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-1.06334e+00,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-1.13646e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-1.20562e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.27124e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.33324e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.39184e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.44660e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.49756e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.54455e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.58806e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-1.62856e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-1.66619e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-1.70078e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-1.73163e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-1.75832e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
