"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26333e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94394e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67156e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-5.49972e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-1.19254e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-1.05941e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-9.56746e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-8.62749e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-7.61889e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-6.59890e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-5.60347e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-4.63366e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-3.68936e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-2.77136e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-1.87926e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-1.01262e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-1.72200e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
6.43002e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
1.43138e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
2.19427e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
2.93167e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
3.64253e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
4.32809e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
4.98799e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
5.62122e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
6.22958e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
6.81098e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
7.36696e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
7.89722e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
8.40158e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
8.88059e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
9.33265e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
9.75947e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
1.01602e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
1.05358e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
1.08848e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
1.12076e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
1.15052e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
1.17768e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
1.20226e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
1.22423e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
1.24365e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
