"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26335e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94427e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67386e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
5.84507e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
5.52216e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
5.15405e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
4.53012e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
3.94996e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
3.44681e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
2.99629e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
2.58382e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
2.19801e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
1.80839e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
1.41495e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
1.04528e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
7.06985e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
3.74285e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
1.18465e-03,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-3.76790e-02,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-7.44193e-02,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-1.06090e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-1.34012e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-1.62225e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-1.92098e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-2.21979e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-2.50182e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-2.76746e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-3.02685e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-3.28686e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-3.54857e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-3.80444e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-4.03936e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-4.24710e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-4.42966e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-4.59682e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-4.75407e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-4.90157e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-5.03685e-01,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-5.15704e-01,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-5.26500e-01,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-5.36606e-01,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-5.46191e-01,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
