"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63198e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26333e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94452e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67038e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.54090e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.41931e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.24952e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.13424e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.00967e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
8.84363e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
7.59517e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
6.36916e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
5.24042e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.17543e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.13332e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.08592e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
1.01210e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-5.69318e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-1.07025e-01,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-2.00692e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-2.89266e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-3.74594e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-4.57915e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-5.39210e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-6.17746e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-6.92148e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-7.62236e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-8.27815e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
