"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26337e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94427e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.88062e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.75244e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.62486e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.45946e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.31620e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.16304e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
1.01411e+00,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
8.79631e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
7.43277e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
6.05321e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.70902e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.40823e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.14577e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
9.31222e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-2.24469e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-1.33295e-01,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-2.41579e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-3.48042e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-4.51530e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-5.50771e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-6.45730e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-7.36994e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-8.25261e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-9.11385e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-9.95349e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-1.07688e+00,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-1.15484e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-1.22823e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.29684e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.36068e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.42050e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.47652e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.52898e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.57772e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.62279e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-1.66434e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-1.70226e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-1.73658e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-1.76726e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-1.79438e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
