"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26354e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94438e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67281e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-3.54093e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-5.37556e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-4.85954e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-4.17299e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-3.70389e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-3.35365e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-2.91347e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-2.35907e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-1.84280e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-1.42307e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-1.03278e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-6.27828e-02,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-2.26661e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
1.51178e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
5.19253e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
8.97159e-02,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
1.27588e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
1.63760e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
1.98341e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
2.32176e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
2.64898e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
2.95877e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
3.25362e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
3.53495e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
3.80155e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
4.05356e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
4.29444e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
4.52413e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
4.73440e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
4.92752e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
5.11050e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
5.29183e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
5.46746e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
5.63117e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
5.77971e-01,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
5.91058e-01,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
6.02495e-01,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
6.12698e-01,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
6.22032e-01,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
