"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63198e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26334e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94401e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67417e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.27045e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.17403e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.08895e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
9.63017e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
8.52729e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
7.47004e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
6.47694e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
5.51082e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
4.52145e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
3.53179e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
2.57794e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
1.67076e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
8.13977e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
6.57718e-04,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-7.78265e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-1.56074e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-2.32990e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-3.06333e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-3.75053e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-4.40013e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-5.02265e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-5.62690e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-6.22164e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-6.80406e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
