"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26335e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94408e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67439e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-5.47643e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-1.65258e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-1.46921e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-1.33131e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-1.19451e+00,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-1.05614e+00,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-9.10787e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-7.67263e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-6.28380e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-4.99735e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-3.73739e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-2.45727e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-1.22991e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
-9.18084e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
9.81764e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
2.02896e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
3.06537e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
4.08578e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
5.07811e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
6.03554e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
6.95789e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
7.84723e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
8.70569e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
9.51887e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
1.02789e+00,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
1.09891e+00,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
1.16648e+00,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
1.23176e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
1.29448e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
1.35384e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
1.40916e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
1.46038e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
1.50729e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
1.55022e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
1.58995e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
1.62697e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
1.66124e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
1.69207e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
1.71892e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
