"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26333e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94428e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.72130e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
1.46883e+00,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
1.32999e+00,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.19637e+00,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.08020e+00,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
9.72254e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
8.61150e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
7.47531e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
6.30584e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
5.14717e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
4.07870e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
3.08037e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
2.07570e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
1.05596e-01,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
7.47734e-03,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-8.40461e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-1.71194e-01,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-2.57304e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-3.42825e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-4.26196e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-5.05454e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-5.80183e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-6.51763e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-7.21946e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-7.90575e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-8.56781e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-9.19489e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-9.78400e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.03424e+00,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.08753e+00,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.13825e+00,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.18546e+00,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.22862e+00,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.26768e+00,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.30337e+00,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-1.33664e+00,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-1.36796e+00,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-1.39758e+00,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-1.42503e+00,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-1.44944e+00,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
