"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26332e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94406e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67162e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
-1.70430e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
-1.21677e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
-1.12076e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
-1.03555e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
-9.08138e-02,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
-7.53859e-02,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
-6.32299e-02,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
-5.51385e-02,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
-4.94371e-02,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
-4.20899e-02,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
-3.20750e-02,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
-2.10931e-02,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
-1.02500e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
2.72951e-04,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
1.04756e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
2.03606e-02,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
2.98994e-02,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
3.91621e-02,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
4.80440e-02,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
5.66385e-02,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
6.48966e-02,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
7.28465e-02,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
8.04730e-02,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
8.77452e-02,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
9.47083e-02,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
1.01355e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
1.07674e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
1.13666e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
1.19336e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
1.24687e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
1.29705e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
1.34406e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
1.38774e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
1.42822e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
1.46551e-01,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
1.49950e-01,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
1.53030e-01,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
1.55783e-01,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
1.58213e-01,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
