"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63197e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26339e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94452e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67769e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
9.21126e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
8.47968e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
7.76970e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
7.05176e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
6.27036e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
5.49958e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
4.75639e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
4.04829e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
3.38326e-01,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
2.77160e-01,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
2.18254e-01,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
1.56421e-01,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
8.99955e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
2.47491e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
-3.37618e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
-8.67206e-02,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
-1.39788e-01,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-1.95030e-01,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-2.50226e-01,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-3.02447e-01,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-3.50898e-01,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-3.96393e-01,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-4.40044e-01,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-4.82118e-01,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-5.22365e-01,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-5.59871e-01,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-5.94696e-01,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-6.27919e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-6.60466e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-6.92600e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-7.23629e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-7.52496e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-7.78332e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-8.01522e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
-8.23131e-01,1,3.71142e+05,-1.04681e+05,0.00000e+00,0.00000e+00
-8.43797e-01,1,3.80659e+05,-9.51646e+04,0.00000e+00,0.00000e+00
-8.63621e-01,1,3.90175e+05,-8.56482e+04,0.00000e+00,0.00000e+00
-8.81948e-01,1,3.99692e+05,-7.61317e+04,0.00000e+00,0.00000e+00
-8.98266e-01,1,4.09208e+05,-6.66152e+04,0.00000e+00,0.00000e+00
